generation,candidate,formula,A,B,B_prime,fitness,predicted_band_gap,predicted_ehull,predicted_formation_energy,charge_neutral
1,"['Sr', 'Mn', 'Cr']",Sr2MnCrO6,Sr,Mn,Cr,0.35445960692640743,1.1455403930735926,0.012342568634018844,-2.855056063812653,True
2,"['Sr', 'Cr', 'Mn']",Sr2CrMnO6,Sr,Cr,Mn,0.35445960692640743,1.1455403930735926,0.012342568634018844,-2.855056063812653,True
2,"['Mg', 'Nb', 'Ti']",Mg2NbTiO6,Mg,Nb,Ti,0.3724157402781121,1.5805751152525258,0.07918406250255863,-2.8816511349675618,True
1,"['Ba', 'W', 'Sb']",Ba2WSbO6,Ba,W,Sb,0.3753156866666687,1.8753156866666687,0.02923244482151831,-2.5264189930033933,True
1,"['Y', 'Mn', 'V']",Y2MnVO6,Y,Mn,V,0.3791906680086585,1.1208093319913415,0.02488812231158613,-3.1292005752438246,True
1,"['Ca', 'Mn', 'Mo']",Ca2MnMoO6,Ca,Mn,Mo,0.3877888401764915,1.1122111598235085,0.02059784778475153,-2.667348670641156,True
23,"['Sr', 'V', 'Co']",Sr2VCoO6,Sr,V,Co,0.38792280182539773,1.1120771981746023,0.01526937614510385,-2.8392510583508375,True
1,"['Sr', 'Co', 'V']",Sr2CoVO6,Sr,Co,V,0.38792280182539796,1.112077198174602,0.01526937614510385,-2.839251058350838,True
1,"['Mg', 'W', 'Zr']",Mg2WZrO6,Mg,W,Zr,0.40067151220468455,1.6309461867460315,0.07697253254586531,-2.7394345093720935,True
1,"['Mg', 'Mn', 'Cr']",Mg2MnCrO6,Mg,Mn,Cr,0.406204098715621,1.2318798426984117,0.06380839414140327,-2.5600729561163775,True
38,"['Sr', 'Cr', 'Co']",Sr2CrCoO6,Sr,Cr,Co,0.4225640869985572,1.0774359130014428,0.015962966295875625,-2.667553052290666,True
1,"['Y', 'Mo', 'Co']",Y2MoCoO6,Y,Mo,Co,0.4240476671428588,1.0759523328571412,0.02483355819285155,-2.711802798402299,True
